originals	tokenized	transliterated
glamourbabes	g l a m ou r b a b e s	ɣ l a m ɑu r b a b ə s
glans	g l a n s	ɣ l ɑ n s
glanslaag	g l a n s l aa g	ɣ l ɑ n s l a ɣ
glas	g l a s	ɣ l ɑ s
Glasbewerkingsbedrijf	G l a s b e w e r k i ng s b e d r ij f	ɣ l ɑ s b ə ʋ ɛ r k ɪ ŋ s b ə d r ɛɪ f
Glasgow	G l a s g o w	ɣ l ɑ s ɣ o ʋ
glasmat	g l a s m a t	ɣ l ɑ s m ɑ t
Glasmat	G l a s m a t	ɣ l ɑ s m ɑ t
glasramen	g l a s r a m e n	ɣ l ɑ s r a m ə n
Glasvezelkabel	G l a s v e z e l k a b e l	ɣ l ɑ s v e z ɛ l k a b ə l
glasvezelverbinding	g l a s v e z e l v e r b i n d i ng	ɣ l ɑ s v e z ɛ l v ɛ r b ɪ n d ɪ ŋ
glauca	g l au c a	ɣ l ɑu k a
glaucus	g l au c u s	ɣ l ɑu k œ s
glazen	g l a z e n	ɣ l a z ə n
glazenier	g l a z e n ie r	ɣ l a z e n i r
Gld	G l d	ɣ l t
Glenliefhebbers	G l e n l ie f h e bb e r s	ɣ l ɛ n l i f h ɛ b ə r s
Glenn	G l e nn	ɣ l ɛ n
gletsjer	g l e tsj e r	ɣ l ɛ tʃ ə r
Gletsjer	G l e tsj e r	ɣ l ɛ tʃ ə r
Gliese	G l ie s e	ɣ l i s ə
glinstering	g l i n s t e r i ng	ɣ l ɪ n s t e r ɪ ŋ
glippen	g l i pp e n	ɣ l ɪ p ə n
globaal	g l o b aa l	ɣ l o b a l
Global	G l o b a l	ɣ l o b ɑ l
globalisering	g l o b a l i s e r i ng	ɣ l o b a l i s e r ɪ ŋ
gloednieuwe	g l oe d n ieu w e	ɣ l u t n iy ʋ ə
gloeiend	g l oei e n d	ɣ l ui ɛ n t
gloeilamp	g l oei l a m p	ɣ l ui l ɑ m p
glooiende	g l ooi e n d e	ɣ l oi ɛ n d ə
Gloria	G l o r i a	ɣ l o r i a
glucagoninjecties	g l u c a g o n i nj e c t ie s	ɣ l y k a ɣ o n ɪ ɲ ɛ k s i s
glucosehuishouding	g l u c o s e h ui s h ou d i ng	ɣ l y k o s e h œy s h ɑu d ɪ ŋ
gluhwein	g l u h w ei n	ɣ l y h ʋ ɛɪ n
glycerine	g l y c e r i n e	ɣ l i s e r i n ə
gnostiek	g n o s t ie k	ɣ n ɔ s t i k
Go	G o	ɣ o
goal	g o a l	g o ɑ l
goalie	g o a l ie	g o a l i
Gobiidae	G o b i i d a e	ɣ o b i i d a ə
Gobiosoma	G o b i o s o m a	ɣ o b i o s o m a
god	g o d	ɣ ɔ t
God	G o d	ɣ ɔ t
godbetert	g o d b e t e r t	ɣ ɔ t b ə t ɛ r t
goddelijke	g o dd e l ij k e	ɣ ɔ d e l ə k ə
goden	g o d e n	ɣ o d ə n
Godfroid	G o d f r oi d	ɣ ɔ t f r ʋa t
Godgeklaagd	G o d g e k l aa g d	ɣ ɔ t ɣ ə k l a ɣ t
godheden	g o d h e d e n	ɣ o d h e d ə n
Godrie	G o d r ie	ɣ ɔ d r i
Gods	G o d s	ɣ ɔ t s
godsdienst	g o d s d ie n s t	ɣ ɔ t s d i n s t
godsdiensten	g o d s d ie n s t e n	ɣ ɔ t s d i n s t ə n
godsdienstvrijheid	g o d s d ie n s t v r ij h ei d	ɣ ɔ t s d i n s t v r ɛɪ h ɛɪ t
Goeben	G oe b e n	ɣ u b ə n
goed	g oe d	ɣ u t
Goed	G oe d	ɣ u t
goede	g oe d e	ɣ u d ə
Goede	G oe d e	ɣ u d ə
Goede-Vrijdagakkoord	G oe d e - V r ij d a g a kk oo r d	ɣ u d e f r ɛɪ d a ɣ ɑ k o r t
goederen	g oe d e r e n	ɣ u d e r ə n
goederenspoor	g oe d e r e n s p oo r	ɣ u d e r ɛ n s p o r
goedgekeurd	g oe d g e k eu r d	ɣ u t ɣ ə k ø r t
goedgekeurde	g oe d g e k eu r d e	ɣ u t ɣ ə k ø r d ə
goedkeuren	g oe d k eu r e n	ɣ u t k ø r ə n
goedkeuring	g oe d k eu r i ng	ɣ u t k ø r ɪ ŋ
goedkeurt	g oe d k eu r t	ɣ u t k ø r t
goedkoop	g oe d k oo p	ɣ u t k o p
Goedkoop	G oe d k oo p	ɣ u t k o p
goedkope	g oe d k o p e	ɣ u t k o p ə
goedkoper	g oe d k o p e r	ɣ u t k o p ə r
goedkopere	g oe d k o p e r e	ɣ u t k o p e r ə
goedlopende	g oe d l o p e n d e	ɣ u t l o p ɛ n d ə
goedpraten	g oe d p r a t e n	ɣ u t p r a t ə n
goedvoorbereide	g oe d v oo r b e r ei d e	ɣ u t v o r b ə r ɛɪ d ə
goegemeente	g oe g e m ee n t e	ɣ u ɣ ə m e n t ə
goeie	g oei e	ɣ ui ə
Goeiemorgen	G oei e m o r g e n	ɣ ui e m ɔ r ɣ ə n
Goeree	G oe r ee	ɣ u r e
Goes	G oe s	ɣ u s
Gogh	G o gh	ɣ o g
going	g oi ng	ɣ ʋa ŋ
Goirle	G oi r l e	ɣ ʋa r l ə
gokbedrijf	g o k b e d r ij f	ɣ ɔ k b ə d r ɛɪ f
gokkasten	g o kk a s t e n	ɣ ɔ k ɑ s t ə n
gokken	g o kk e n	ɣ ɔ k ə n
Goku	G o k u	ɣ o k y
Gold	G o l d	ɣ ɔ l t
Goldsmith	G o l d s m i t h	ɣ ɔ l t s m i t
golf	g o l f	ɣ ɔ l f
Golf	G o l f	ɣ ɔ l f
Golf-versies	G o l f - v e r s ie s	ɣ ɔ l f v ɛ r s i s
golfbaan	g o l f b aa n	ɣ ɔ l f b a n
golfclub	g o l f c l u b	ɣ ɔ l f k l œ p
Golfer	G o l f e r	ɣ ɔ l f ə r
golflengten	g o l f l e ng t e n	ɣ ɔ l f l ɛ ŋ t ə n
golven	g o l v e n	ɣ ɔ l v ə n
golvingen	g o l v i ng e n	ɣ ɔ l v ɪ ŋ ə n
Gomatio	G o m a ti o	ɣ o m a ʃ o
Gomez	G o m e z	ɣ o m ɛ s
Gómez	G ó m e z	ɣ o m ɛ s
Gommarus	G o mm a r u s	ɣ ɔ m a r œ s
gonst	g o n s t	ɣ ɔ n s t
Gonzalez	G o n z a l e z	ɣ ɔ n z a l ɛ s
goochelaar	g oo ch e l aa r	ɣ o x e l a r
Google	G oo g l e	ɣ o ɣ l ə
googlen	g oo g l e n	ɣ o ɣ l ə n
Gooi	G ooi	ɣ oi
gooide	g ooi d e	ɣ oi d ə
gooien	g ooi e n	ɣ oi ə n
Gooik	G ooi k	ɣ oi k
gooit	g ooi t	ɣ oi t
Gooit	G ooi t	ɣ oi t
Goor	G oo r	ɣ o r
goot	g oo t	ɣ o t
gootsteen	g oo t s t ee n	ɣ o t s t e n
gordijnen	g o r d ij n e n	ɣ ɔ r d ɛɪ n ə n
gordijnroede	g o r d ij n r oe d e	ɣ ɔ r d ɛɪ n r u d ə
Gore	G o r e	ɣ o r ə
Gorinchem	G o r i n ch e m	ɣ o r ɪ n x ɛ m
Gorssel	G o r ss e l	ɣ ɔ r s ə l
Gort	G o r t	ɣ ɔ r t
Gosnell	G o s n e ll	ɣ ɔ s n ɛ l
Got	G o t	ɣ ɔ t
Göteborg	G ⁇ t e b o r g	ɣ ⁇ t e b ɔ r ɣ
goten	g o t e n	ɣ o t ə n
Gotha	G o t h a	ɣ o t h a
gothic	g o t h i c	ɣ o t h ɪ k
gothics	g o t h i c s	ɣ o t h ɪ k s
Gotisch	G o t i sch	ɣ o t i s
Götz	G ⁇ t z	ɣ ⁇ t s
goud	g ou d	ɣ ɑu t
Gouda	G ou d a	ɣ ɑu d a
gouden	g ou d e n	ɣ ɑu d ə n
Gouden	G ou d e n	ɣ ɑu d ə n
goudindustrie	g ou d i n d u s t r ie	ɣ ɑu d ɪ n d œ s t r i
goudkleurige	g ou d k l eu r i g e	ɣ ɑu t k l ø r ə ɣ ə
Goudse	G ou d s e	ɣ ɑu t s ə
Goudsmit	G ou d s m i t	ɣ ɑu t s m ɪ t
gouverneur	g ou v e r n eu r	ɣ ɑu v ɛ r n ø r
gouw	g ou w	ɣ ɑu ʋ
Gouw	G ou w	ɣ ɑu ʋ
Governance	G o v e r n a n c e	ɣ o v ɛ r n ɑ n s ə
Govers	G o v e r s	ɣ o v ɛ r s
Govert	G o v e r t	ɣ o v ɛ r t
graadmeter	g r aa d m e t e r	ɣ r a t m e t ə r
Graaf	G r aa f	ɣ r a f
graafschap	g r aa f s ch a p	ɣ r a f s x ɑ p
Graafschap	G r aa f s ch a p	ɣ r a f s x ɑ p
graaft	g r aa f t	ɣ r a f t
graag	g r aa g	ɣ r a ɣ
Graag	G r aa g	ɣ r a ɣ
graailobby	g r aai l o bb y	ɣ r aɪ l ɔ b i
graaitaks	g r aai t a k s	ɣ r aɪ t ɑ k s
graan	g r aa n	ɣ r a n
Grab	G r a b	ɣ r ɑ p
grabbelen	g r a bb e l e n	ɣ r ɑ b ə l ə n
grabbelton	g r a bb e l t o n	ɣ r ɑ b ə l t ɔ n
gracieus	g r a c i eu s	ɣ r a s i ø s
gracilis	g r a c i l i s	ɣ r a s i l ɪ s
graden	g r a d e n	ɣ r a d ə n
graf	g r a f	ɣ r ɑ f
Gräf	G r ä f	ɣ r a f
Graffiti	G r a ff i t i	ɣ r ɑ f i t i
graffitiworkshop	g r a ff i t i w o r k s h o p	ɣ r ɑ f i t i ʋ ɔ r k s h ɔ p
grafiek	g r a f ie k	ɣ r a f i k
grafieken	g r a f ie k e n	ɣ r a f i k ə n
grafiekjes	g r a f ie k j e s	ɣ r a f i k j ɛ s
grafisch	g r a f i sch	ɣ r a f i s
grafische	g r a f i sch e	ɣ r a f i s ə
grafsteen	g r a f s t ee n	ɣ r ɑ f s t e n
Graft	G r a f t	ɣ r ɑ f t
gram	g r a m	ɣ r ɑ m
granaat	g r a n aa t	ɣ r a n a t
grand	g r a n d	ɣ r ɑ n t
Grand	G r a n d	ɣ r ɑ n t
grandeur	g r a n d eu r	ɣ r ɑ n d ø r
grandioos	g r a n d i oo s	ɣ r ɑ n d i o s
Grandmaster	G r a n d m a s t e r	ɣ r ɑ n t m ɑ s t ə r
grandslamtoernooi	g r a n d s l a m t oe r n ooi	ɣ r ɑ n t s l ɑ m t u r n oi
Granja	G r a nj a	ɣ r ɑ ɲ a
Granny	G r a nn y	ɣ r ɑ n i
Grant	G r a n t	ɣ r ɑ n t
grap	g r a p	ɣ r ɑ p
Grape	G r a p e	ɣ r a p ə
grapefruit	g r a p e f r ui t	ɣ r a p ɛ f r u t
graphics	g r a p h i c s	ɣ r a p h ɪ k s
grappen	g r a pp e n	ɣ r ɑ p ə n
grappig	g r a pp i g	ɣ r ɑ p ə ɣ
grappige	g r a pp i g e	ɣ r ɑ p ə ɣ ə
grappigs	g r a pp i g s	ɣ r ɑ p ɪ ɣ s
gras	g r a s	ɣ r ɑ s
Gras	G r a s	ɣ r ɑ s
grasdaken	g r a s d a k e n	ɣ r ɑ s d a k ə n
grassoorten	g r a ss oo r t e n	ɣ r ɑ s o r t ə n
grasvelden	g r a s v e l d e n	ɣ r ɑ s v ɛ l d ə n
gratis	g r a t i s	ɣ r a t ɪ s
Gratis	G r a t i s	ɣ r a t ɪ s
gratuite	g r a t ui t e	ɣ r a t œy t ə
graven	g r a v e n	ɣ r a v ə n
Gravenhage	G r a v e n h a g e	ɣ r a v e n h a ɣ ə
gravity	g r a v i t y	ɣ r a v i t i
Grease	G r e a s e	ɣ r e a s ə
Grebbelinie	G r e bb e l i n ie	ɣ r ɛ b ə l i n i
Green	G r ee n	ɣ r e n
Greenpeace	G r ee n p e a c e	ɣ r e n p e a s ə
greep	g r ee p	ɣ r e p
grefosmoel	g r e f o s m oe l	ɣ r e f ɔ s m u l
Gregoor	G r e g oo r	ɣ r e ɣ o r
Greidanus	G r ei d a n u s	ɣ r ɛɪ d a n œ s
grenen	g r e n e n	ɣ r e n ə n
grens	g r e n s	ɣ r ɛ n s
grenshospitium	g r e n s h o s p i t i u m	ɣ r ɛ n s h ɔ s p i t i œ m
grensoverschrijdend	g r e n s o v e r s ch r ij d e n d	ɣ r ɛ n s o v ɛ r s x r ɛɪ d ɛ n t
grenst	g r e n s t	ɣ r ɛ n s t
Grenzeloosenzo	G r e n z e l oo s e n z o	ɣ r ɛ n z e l o s ɛ n z o
grenzen	g r e n z e n	ɣ r ɛ n z ə n
greppeltocht	g r e pp e l t o ch t	ɣ r ɛ p ɛ l t ɔ x t
Gretta	G r e tt a	ɣ r ɛ t a
Greune	G r eu n e	ɣ r ø n ə
Greunsven	G r eu n s v e n	ɣ r ø n s v ə n
Griekenand	G r ie k e n a n d	ɣ r i k e n ɑ n t
Griekenland	G r ie k e n l a n d	ɣ r i k ɛ n l ɑ n t
Grieks	G r ie k s	ɣ r i k s
Griekse	G r ie k s e	ɣ r i k s ə
Griep	G r ie p	ɣ r i p
griepbesmettingen	g r ie p b e s m e tt i ng e n	ɣ r i p b ə s m ɛ t ɪ ŋ ə n
griepje	g r ie p j e	ɣ r i p j ə
griezel	g r ie z e l	ɣ r i z ə l
griezelverhalen	g r ie z e l v e r h a l e n	ɣ r i z ɛ l v e r h a l ə n
Griftpark	G r i f t p a r k	ɣ r ɪ f t p ɑ r k
Grigneuseville	G r i g n eu s e v i ll e	ɣ r ɪ ɣ n ø s e v ɪ l ə
grijnzende	g r ij n z e n d e	ɣ r ɛɪ n z ɛ n d ə
grijpen	g r ij p e n	ɣ r ɛɪ p ə n
grijpt	g r ij p t	ɣ r ɛɪ p t
grijs	g r ij s	ɣ r ɛɪ s
grijsaard	g r ij s aa r d	ɣ r ɛɪ s a r t
grijsachtige	g r ij s a ch t i g e	ɣ r ɛɪ s ɑ x t ə ɣ ə
grijze	g r ij z e	ɣ r ɛɪ z ə
Grijzen	G r ij z e n	ɣ r ɛɪ z ə n
gril	g r i l	ɣ r ɪ l
grimassen	g r i m a ss e n	ɣ r i m ɑ s ə n
Grimm	G r i mm	ɣ r ɪ m
grind	g r i n d	ɣ r ɪ n t
grindwinning	g r i n d w i nn i ng	ɣ r ɪ n d ʋ ɪ n ɪ ŋ
grip	g r i p	ɣ r ɪ p
gristelijke	g r i s t e l ij k e	ɣ r ɪ s t e l ə k ə
Grobbendonk	G r o bb e n d o n k	ɣ r ɔ b ə n d ɔ ŋ k
Grobowski	G r o b o w s k i	ɣ r o b o ʋ s k i
groei	g r oei	ɣ r ui
groeide	g r oei d e	ɣ r ui d ə
groeiden	g r oei d e n	ɣ r ui d ə n
groeien	g r oei e n	ɣ r ui ə n
groeiende	g r oei e n d e	ɣ r ui ɛ n d ə
groeit	g r oei t	ɣ r ui t
groeiverwachtingen	g r oei v e r w a ch t i ng e n	ɣ r ui v e r ʋ ɑ x t ɪ ŋ ə n
groen	g r oe n	ɣ r u n
Groen	G r oe n	ɣ r u n
Groen-Blauwe	G r oe n - B l au w e	ɣ r u n b l ɑu ʋ ə
groenbeheer	g r oe n b e h ee r	ɣ r u n b ə h e r
groenbeplanting	g r oe n b e p l a n t i ng	ɣ r u n b ə p l ɑ n t ɪ ŋ
groene	g r oe n e	ɣ r u n ə
Groene	G r oe n e	ɣ r u n ə
Groenendijk	G r oe n e n d ij k	ɣ r u n ɛ n d ɛɪ k
Groenfonds	G r oe n f o n d s	ɣ r u n f ɔ n t s
Groenhuijsen	G r oe n h ui j s e n	ɣ r u n h œy j s ə n
Groenink	G r oe n i n k	ɣ r u n ɪ ŋ k
Groenlo	G r oe n l o	ɣ r u n l o
groenonderhoud	g r oe n o n d e r h ou d	ɣ r u n ɔ n d e r h ɑu t
groenstructuur	g r oe n s t r u c t uu r	ɣ r u n s t r œ k t y r
groentekassen	g r oe n t e k a ss e n	ɣ r u n t e k ɑ s ə n
groenten	g r oe n t e n	ɣ r u n t ə n
groenverklaring	g r oe n v e r k l a r i ng	ɣ r u n v ɛ r k l a r ɪ ŋ
groenvoorziening	g r oe n v oo r z ie n i ng	ɣ r u n v o r z i n ɪ ŋ
groep	g r oe p	ɣ r u p
Groep	G r oe p	ɣ r u p
groepeerde	g r oe p ee r d e	ɣ r u p e r d ə
groepen	g r oe p e n	ɣ r u p ə n
groepering	g r oe p e r i ng	ɣ r u p e r ɪ ŋ
groeperingen	g r oe p e r i ng e n	ɣ r u p e r ɪ ŋ ə n
groepje	g r oe p j e	ɣ r u p j ə
groepsaanduidingen	g r oe p s aa n d ui d i ng e n	ɣ r u p s a n d œy d ɪ ŋ ə n
Groepsaccommodatie	G r oe p s a cc o mm o d a t ie	ɣ r u p s ɑ k ɔ m o d a ts i
groepsfase	g r oe p s f a s e	ɣ r u p s f a z ə
groepsfitness	g r oe p s f i t n e ss	ɣ r u p s f ɪ t n ɛ s
groepsgesprekken	g r oe p s g e s p r e kk e n	ɣ r u p s ɣ ə s p r ɛ k ə n
groepsgrootte	g r oe p s g r oo tt e	ɣ r u p s ɣ r o t ə
groepslessen	g r oe p s l e ss e n	ɣ r u p s l ɛ s ə n
groepslidmaatschap	g r oe p s l i d m aa t s ch a p	ɣ r u p s l ɪ t m a t s x ɑ p
groepsniveau	g r oe p s n i v eau	ɣ r u p s n i v o
groepsverband	g r oe p s v e r b a n d	ɣ r u p s v ɛ r b ɑ n t
groeten	g r oe t e n	ɣ r u t ə n
groetjes	g r oe tj e s	ɣ r u c ɛ s
grofweg	g r o f w e g	ɣ r o f ʋ ɛ ɣ
Grohningn	G r o h n i ng n	ɣ r o n ɪ ŋ n
Grolse	G r o l s e	ɣ r ɔ l s ə
Grommend	G r o mm e n d	ɣ r ɔ m ɛ n t
grond	g r o n d	ɣ r ɔ n t
Grond	G r o n d	ɣ r ɔ n t
grondbeleid	g r o n d b e l ei d	ɣ r ɔ n t b ə l ɛɪ t
grondels	g r o n d e l s	ɣ r ɔ n d ɛ l s
gronden	g r o n d e n	ɣ r ɔ n d ə n
Grondfrees	G r o n d f r ee s	ɣ r ɔ n t f r e s
grondgebied	g r o n d g e b ie d	ɣ r ɔ n t ɣ ə b i t
grondhouding	g r o n d h ou d i ng	ɣ r ɔ n d h ɑu d ɪ ŋ
grondig	g r o n d i g	ɣ r ɔ n d ə ɣ
grondige	g r o n d i g e	ɣ r ɔ n d ə ɣ ə
grondiger	g r o n d i g e r	ɣ r ɔ n d ə ɣ ə r
grondplan	g r o n d p l a n	ɣ r ɔ n t p l ɑ n
grondrechten	g r o n d r e ch t e n	ɣ r ɔ n d r ɛ x t ə n
grondslag	g r o n d s l a g	ɣ r ɔ n t s l ɑ ɣ
grondslagen	g r o n d s l a g e n	ɣ r ɔ n t s l a ɣ ə n
grondstoffen	g r o n d s t o ff e n	ɣ r ɔ n t s t ɔ f ə n
grondstoffenconcern	g r o n d s t o ff e n c o n c e r n	ɣ r ɔ n t s t ɔ f ɛ ŋ k ɔ n s ɛ r n
grondtoestand	g r o n d t oe s t a n d	ɣ r ɔ n t t u s t ɑ n t
grondwater	g r o n d w a t e r	ɣ r ɔ n d ʋ a t ə r
grondwet	g r o n d w e t	ɣ r ɔ n d ʋ ɛ t
Grondwet	G r o n d w e t	ɣ r ɔ n d ʋ ɛ t
grondzakenbeheer	g r o n d z a k e n b e h ee r	ɣ r ɔ n t z a k ɛ n b ə h e r
Groningen	G r o n i ng e n	ɣ r o n ɪ ŋ ə n
Groninger	G r o n i ng e r	ɣ r o n ɪ ŋ ə r
Groningse	G r o n i ng s e	ɣ r o n ɪ ŋ s ə
gronk	g r o n k	ɣ r ɔ ŋ k
Gronsveld	G r o n s v e l d	ɣ r ɔ n s v ɛ l t
groot	g r oo t	ɣ r o t
Groot	G r oo t	ɣ r o t
groot-brittannie	g r oo t - b r i tt a nn ie	ɣ r o t b r ɪ t ɑ n i
Groot-Brittannië	G r oo t - B r i tt a nn i ë	ɣ r o t b r ɪ t ɑ n i ə
Groot-Smielen	G r oo t - S m ie l e n	ɣ r o t s m i l ə n
grootaandeelhouders	g r oo t aa n d ee l h ou d e r s	ɣ r o t a n d e l h ɑu d ɛ r s
Groote	G r oo t e	ɣ r o t ə
grootgebracht	g r oo t g e b r a ch t	ɣ r o t ɣ ə b r ɑ x t
grootgrondbezitters	g r oo t g r o n d b e z i tt e r s	ɣ r o t ɣ r ɔ n t b ə z ɪ t ɛ r s
Groothandel	G r oo t h a n d e l	ɣ r o t h ɑ n d ə l
grootheden	g r oo t h e d e n	ɣ r o t h e d ə n
grootmama	g r oo t m a m a	ɣ r o t m a m a
grootmoeder	g r oo t m oe d e r	ɣ r o t m u d ə r
grootschalige	g r oo t s ch a l i g e	ɣ r o t s x a l ə ɣ ə
grootscheepse	g r oo t s ch ee p s e	ɣ r o t s x e p s ə
grootse	g r oo t s e	ɣ r o t s ə
grootst	g r oo t s t	ɣ r o t s t
grootste	g r oo t s t e	ɣ r o t s t ə
grootsteden	g r oo t s t e d e n	ɣ r o t s t e d ə n
grootte	g r oo tt e	ɣ r o t ə
grootvader	g r oo t v a d e r	ɣ r o t v a d ə r
Grosjean	G r o sj e a n	ɣ r o ʃ e ɑ n
grossiert	g r o ss ie r t	ɣ r ɔ s i r t
grot	g r o t	ɣ r ɔ t
grote	g r o t e	ɣ r o t ə
Grote	G r o t e	ɣ r o t ə
groten	g r o t e n	ɣ r o t ə n
grotendeels	g r o t e n d ee l s	ɣ r o t ɛ n d e l s
groter	g r o t e r	ɣ r o t ə r
grotere	g r o t e r e	ɣ r o t e r ə
Grotere	G r o t e r e	ɣ r o t e r ə
grotestedenbeleid	g r o t e s t e d e n b e l ei d	ɣ r o t ɛ s t e d ɛ n b ə l ɛɪ t
grotten	g r o tt e n	ɣ r ɔ t ə n
Group	G r ou p	ɣ r ɑu p
grove	g r o v e	ɣ r o v ə
Grunneger	G r u nn e g e r	ɣ r œ n e ɣ ə r
Grunnegers	G r u nn e g e r s	ɣ r œ n e ɣ ə r s
grutto	g r u tt o	ɣ r œ t o
Grutto	G r u tt o	ɣ r œ t o
gruweldood	g r u w e l d oo d	ɣ r y ʋ ɛ l d o t
gruwelijk	g r u w e l ij k	ɣ r y ʋ e l ə k
gruwelijke	g r u w e l ij k e	ɣ r y ʋ e l ə k ə
Guantánamo	G u a n t á n a m o	ɣ y ɑ n t a n a m o
Guatambú	G u a t a m b ú	ɣ y a t ɑ m b y
Gucci	G u cc i	ɣ œ ks i
Guericke	G u e r i ck e	ɣ y e r ɪ k ə
guerilla	gu e r i ll a	g e r ɪ lj a
guerrilla	gu e rr i ll a	g ɛ r ɪ l a
Guest	G u e s t	ɣ y ɛ s t
Guetta	G u e tt a	ɣ y ɛ t a
Guido	G ui d o	ɣ œy d o
Guigoven	G ui g o v e n	ɣ œy ɣ o v ə n
Guishof	G ui s h o f	ɣ œy s h ɔ f
Gül	G ü l	ɣ y l
gulden	g u l d e n	ɣ œ l d ə n
gulle	g u ll e	ɣ œ l ə
Gulliver	G u ll i v e r	ɣ œ l i v ə r
Gulpen	G u l p e n	ɣ œ l p ə n
gulzig	g u l z i g	ɣ œ l z ə ɣ
gum	g u m	ɣ œ m
Gun	G u n	ɣ œ n
Gunnewijk	G u nn e w ij k	ɣ œ n e ʋ ɛɪ k
gunst	g u n s t	ɣ œ n s t
gunstig	g u n s t i g	ɣ œ n s t ə ɣ
Guntherstein	G u n t h e r s t ei n	ɣ œ n t h ɛ r s t ɛɪ n
gure	g u r e	ɣ y r ə
Gurney	G u r n e y	ɣ œ r n ɛ i
gutmenschen	g u t m e n s ch e n	ɣ œ t m ɛ n s x ə n
gutste	g u t s t e	ɣ œ t s t ə
guur	g uu r	ɣ y r
Guus	G uu s	ɣ y s
Guy	G u y	ɣ y i
Guyana	G u y a n a	ɣ y i a n a
gymnastieklokaal	g y m n a s t ie k l o k aa l	ɣ i m n ɑ s t i k l o k a l
gymzalen	g y m z a l e n	ɣ i m z a l ə n
gyn	g y n	ɣ i n
gynaecoloog	g y n ae c o l oo g	ɣ i n e k o l o ɣ
ha	h a	h a
Ha-Ra	H a - R a	h a r a
haag	h aa g	h a ɣ
Haag	H aa g	h a ɣ
Haaglanden	H aa g l a n d e n	h a ɣ l ɑ n d ə n
Haags	H aa g s	h a ɣ s
Haagse	H aa g s e	h a ɣ s ə
Haak	H aa k	h a k
haakje	h aa k j e	h a k j ə
haakjes	h aa k j e s	h a k j ɛ s
haaks	h aa k s	h a k s
Haaksbergen	H aa k s b e r g e n	h a k s b ə r ɣ ə n
haakse	h aa k s e	h a k s ə
haakt	h aa k t	h a k t
haakwerkjes	h aa k w e r k j e s	h a k ʋ ɛ r k j ɛ s
haal	h aa l	h a l
haalbaar	h aa l b aa r	h a l b a r
haalbaarheid	h aa l b aa r h ei d	h a l b a r h ɛɪ t
haalbare	h aa l b a r e	h a l b a r ə
haalde	h aa l d e	h a l d ə
haalden	h aa l d e n	h a l d ə n
haalt	h aa l t	h a l t
haan	h aa n	h a n
Haan	H aa n	h a n
Haanstra	H aa n s t r a	h a n s t r a
haar	h aa r	h a r
Haar	H aa r	h a r
Haarchirurgen	H aa r ch i r u r g e n	h a r x i r œ r ɣ ə n
haard	h aa r d	h a r t
haarden	h aa r d e n	h a r d ə n
haardplaatsen	h aa r d p l aa t s e n	h a r t p l a t s ə n
haardracht	h aa r d r a ch t	h a r d r ɑ x t
Haaren	H aa r e n	h a r ə n
haargebied	h aa r g e b ie d	h a r ɣ ə b i t
haargroeicyclus	h aa r g r oei c y c l u s	h a r ɣ r ui s i k l œ s
haarkwal	h aa r k w a l	h a r k ʋ ɑ l
Haarlem	H aa r l e m	h a r l ɛ m
Haarlem-Zuid	H aa r l e m - Z ui d	h a r l e m z œy t
Haarlemmer	H aa r l e mm e r	h a r l ɛ m ə r
Haarlemmerliede	H aa r l e mm e r l ie d e	h a r l ɛ m ɛ r l i d ə
Haarlemmermeer	H aa r l e mm e r m ee r	h a r l ɛ m ɛ r m e r
haarscherp	h aa r s ch e r p	h a r s x ɛ r p
haarverf	h aa r v e r f	h a r v ɛ r f
Haarwerken	H aa r w e r k e n	h a r ʋ ɛ r k ə n
haarzelf	h aa r z e l f	h a r z ɛ l f
Haase	H aa s e	h a s ə
haast	h aa s t	h a s t
haat	h aa t	h a t
Habesj	H a b e sj	h a b ə ʃ
Habitat	H a b i t a t	h a b i t ɑ t
hackers	h a ck e r s	h ɑ k ɛ r s
hackt	h a ck t	h ɑ k t
had	h a d	h ɑ t
Had	H a d	h ɑ t
hadden	h a dd e n	h ɑ d ə n
Hadi	H a d i	h a d i
hae	h a e	h a ə
Haemorrhagic	H a e m o rr h a g i c	h a e m ɔ r h a ɣ ɪ k
Haemorrhagisch	H a e m o rr h a g i sch	h a e m ɔ r h a ɣ i s
Haere	H a e r e	h a e r ə
haet	h a e t	h a ɛ t
Haffner	H a ff n e r	h ɑ f n ə r
Hafragilsfoss	H a f r a g i l s f o ss	h ɑ f r a ɣ ɪ l s f ɔ s
Hag	H a g	h ɑ ɣ
hagedis	h a g e d i s	h a ɣ ə d ɪ s
Hagen	H a g e n	h a ɣ ə n
Hagenaar	H a g e n aa r	h a ɣ ə n a r
haha	h a h a	h a h a
Haha	H a h a	h a h a
Haiderabad	H ai d e r a b a d	h ɑɪ d e r a b ɑ t
Hair	H ai r	h ɑɪ r
Hairstylers	H ai r s t y l e r s	h ɑɪ r s t i l ɛ r s
Haïti	H a ï t i	h a i t i
Hajo	H a j o	h a j o
haken	h a k e n	h a k ə n
hakje	h a k j e	h a k j ə
hal	h a l	h ɑ l
halalvoedsel	h a l a l v oe d s e l	h a l ɑ l v u t s ə l
halen	h a l e n	h a l ə n
half	h a l f	h ɑ l f
halfgeleiderindustrie	h a l f g e l ei d e r i n d u s t r ie	h ɑ l f ɣ ə l ɛɪ d e r ɪ n d œ s t r i
